"id_product";"id_shop";"id_lang";"description";"description_short";"link_rewrite";"meta_description";"meta_keywords";"meta_title";"name";"available_now";"available_later"
"1";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>High Resolution</strong><br />Creates crisp, clear images even at long distances<br /><br /><strong>Lightweight and Compact Design</strong><br />Capable of fitting numerous applications<br /><br /><strong>Fast F-Stop of F1.4</strong><br />Able to create extremely shallow depth of field in low lighting situations</p>";"<p>Series Description<br /><br />Kowa's JC5M2 lens series is perfect for high-end applications that require the use of 5 megapixel cameras.  With a fast F-stop, locking screws, and a compact design, these lenses provide a good value between price and performance.  The JC5M2 lenses are compact, lightweight, and have a fast F-stop of F1.4.</p>";"lm16jc5m2";"Kowa LM16JC5M2 2/3"" 16mm F/1.4 C-Mount 5 Megapixel Industrial Lens.  Kowa's JC5M2 lens series is perfect for high-end applications that require the use of megapixel";NULL;"Kowa 2/3"" LM16JC5M2 Lens";"LM16JC5M2";NULL;NULL
"386";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>Large Image of Φ23mm (C-mount)</strong><br /><br /><br /><strong>Consistent Megapixel Resolution</strong><br />Megapixel resolution is maintained throughout the entire image, even if the iris is fully opened</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm8xc";"LM8XC 4/3"" 8.5mm F/2.8 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM8XC Lens";"LM8XC";NULL;NULL
"392";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>Large Image of Φ23mm (C-mount)</strong><br /><br /><br /><strong>Consistent Megapixel Resolution</strong><br />Megapixel resolution is maintained throughout the entire image, even if the iris is fully opened</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm12xc";"LM12XC 4/3"" 12mm F/2.0 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM12XC Lens";"LM12XC";NULL;NULL
"393";"1";"1";"<p><strong><span id=""Section-Title"">Floating Mechanism Design</span></strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm16xc";"LM8XC 4/3"" 8.5mm F/2.0 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM16XC Lens.";"LM16XC";NULL;NULL
"394";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>Large Image of Φ23mm (C-mount)</strong><br /><br /><br /><strong>Consistent Megapixel Resolution</strong><br />Megapixel resolution is maintained throughout the entire image, even if the iris is fully opened</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm25xc";"LM25XC 4/3"" 25mm F/2.0 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM25XC Lens";"LM25XC";NULL;NULL
"395";"1";"1";"<p><strong><span id=""Section-Title"">XD Extra Low Dispersion</span></strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>Large Image of Φ23mm (C-mount)</strong><br /><br /><br /><strong>Consistent Megapixel Resolution</strong><br />Megapixel resolution is maintained throughout the entire image, even if the iris is fully opened</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm35xc";"LM35XC 4/3"" 35mm F/2.0 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM35XC Lens";"LM35XC";NULL;NULL
"396";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>Large Image of Φ23mm (C-mount)</strong><br /><br /><br /><strong>Consistent Megapixel Resolution</strong><br />Megapixel resolution is maintained throughout the entire image, even if the iris is fully opened</p>";"<p>Series Description<br /><br /> The 4/3"" megapixel XC lens series provides a large image format of Φ23mm(C-mount). These high precision aspherical lenses greatly reduce distortion and produces a high definition picture. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open. In addition, Kowa's wide-band multi-coating effectively reduces glare and refraction.</p>";"lm50xc";"LM50XC 4/3"" 50mm F/2.0 C-mount Megapixel High Resolution Industrial Lens. XC lenses maintain megapixel resolution thoughout the entire image even if the iris is fully open.";NULL;"Kowa 4/3"" LM50XC Lens.";"LM50XC";NULL;NULL
"397";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>200lp/mm Resolution and Low Distortion</strong><br />200lp/mm resolution and low distortion will maximize performance for high-end applications<br /><br /><strong>High Transmission from visible to NIR</strong><br />JC10M Series incorporates wide-band coating and a floating mechanism design to maintain a high transmission from visible to NIR <br /><br /><strong>Easy Installation</strong><br />Short minimum object distance and compact design using aspherical lenses (5 models/F-5 ~ 25mm) will allow for easy installation in compact machine vision systems</p>
<p> </p>
<p>*Previous Design May Have a Gold Band</p>";"<p>Series Description<br /><br /> The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications. Incorporating Kowa's broadband coating and floating mechanism design, the JC10M lens series greatly reduces chromatic aberration at any distance and maintain a high transmission from visible to NIR.</p>";"lm5jc10m";"Kowa LM5JC10M 2/3"" 5mm F/1.8 C-Mount 10 Megapixel Industrial Lens. The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications.";NULL;"Kowa 2/3"" LM5JC10M Lens";"LM5JC10M";NULL;NULL
"398";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>200lp/mm Resolution and Low Distortion</strong><br />200lp/mm resolution and low distortion will maximize performance for high-end applications<br /><br /><strong>High Transmission from visible to NIR</strong><br />JC10M Series incorporates wide-band coating and a floating mechanism design to maintain a high transmission from visible to NIR <br /><br /><strong>Easy Installation</strong><br />Short minimum object distance and compact design using aspherical lenses (5 models/F-5 ~ 25mm) will allow for easy installation in compact machine vision systems</p>
<p> </p>
<p>*Previous Design May Have a Gold Band</p>";"<p>Series Description<br /><br /> The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications. Incorporating Kowa's broadband coating and floating mechanism design, the JC10M lens series greatly reduces chromatic aberration at any distance and maintain a high transmission from visible to NIR.</p>";"lm8cj10m";"Kowa LM8JC10M 2/3"" 8.5mm F/1.8 C-Mount 10 Megapixel Industrial Lens. The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications";NULL;"Kowa 2/3"" LM8JC10M Lens";"LM8JC10M";NULL;NULL
"399";"1";"1";"<p><strong>Floating Mechanism Design</strong><br />Kowa's floating mechanism design virtually eliminates optical abberations from close distance to infinity<br /><br /><strong>XD Extra Low Dispersion</strong><br />Kowa's wide-band multi-coating effectively reduces glare and refraction<br /><br /><strong>Low Distortion</strong><br />High precision aspherical lens greatly reduces distortion and produces a high definition picture<br /><br /><strong>200lp/mm Resolution and Low Distortion</strong><br />200lp/mm resolution and low distortion will maximize performance for high-end applications<br /><br /><strong>High Transmission from visible to NIR</strong><br />JC10M Series incorporates wide-band coating and a floating mechanism design to maintain a high transmission from visible to NIR <br /><br /><strong>Easy Installation</strong><br />Short minimum object distance and compact design using aspherical lenses (5 models/F-5 ~ 25mm) will allow for easy installation in compact machine vision systems</p>
<p> </p>
<p>*Previous Design May Have a Gold Band</p>";"<p>Series Description<br /><br /> The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications. Incorporating Kowa's broadband coating and floating mechanism design, the JC10M lens series greatly reduces chromatic aberration at any distance and maintain a high transmission from visible to NIR.</p>";"lm12jc10m";"Kowa LM12JC10M 2/3"" 12mm F/1.8 C-Mount 10 Megapixel Industrial Lens. The 2/3"" 10 megapixel JC10M lens series provides 200lp/mm resolution and low distortion in order to maximize performance for high-end applications";NULL;"Kowa 2/3"" LM12JC10M Lens";"LM12JC10M";NULL;NULL
